,item,proficiency,timestamp
1,138143,138143,138143
2,138143,138143,138143
3,175863,33,1.50526E+12
4,175863,95,1.50526E+12
5,175863,100,1.50526E+12
6,175863,100,1.50526E+12
7,175863,100,1.50526E+12
8,175863,33,1.50536E+12
9,175863,99,1.50536E+12
10,175863,99,1.50536E+12
11,175863,33,1.50539E+12
12,406404,406404,406404
13,406404,406404,406404
14,234779,234779,234779
15,234779,234779,234779
16,635525,33,1.50524E+12
17,760203,760203,760203
18,760203,760203,760203
19,789463,33,1.50525E+12
20,705040,0,1.50371E+12
21,357249,357249,357249
22,357249,357249,357249
23,900612,33,1.50524E+12
24,428285,33,1.50439E+12
25,400386,400386,400386
26,400386,400386,400386
27,516383,516383,516383
28,516383,516383,516383
29,42786,42786,42786
30,42786,42786,42786
31,294715,0,1.50533E+12
32,415221,1,1.50536E+12
33,586076,586076,586076
34,586076,586076,586076
35,671285,1,1.50533E+12
36,235175,0,1.50533E+12
37,113065,33,1.50525E+12
38,853875,853875,853875
39,853875,853875,853875
40,318690,318690,318690
41,318690,318690,318690
42,828958,0,1.50413E+12
43,83802,0,1.50363E+12
44,161990,161990,161990
45,161990,161990,161990
46,952711,952711,952711
47,952711,952711,952711
48,248923,66,1.50438E+12
49,248923,33,1.50438E+12
50,124628,124628,124628
51,124628,124628,124628
52,267933,33,1.50525E+12
53,121866,121866,121866
54,121866,121866,121866
55,268258,268258,268258
56,268258,268258,268258
57,670032,670032,670032
58,670032,670032,670032
59,972789,972789,972789
60,972789,972789,972789
61,46253,1,1.50536E+12
62,46253,99,1.50536E+12
63,46253,33,1.50536E+12
64,46253,67,1.50536E+12
65,46253,99,1.50536E+12
66,46253,33,1.50539E+12
67,431353,431353,431353
68,431353,431353,431353
69,245534,1,1.50536E+12
70,245534,99,1.50536E+12
71,245534,99,1.50536E+12
72,245534,99,1.50536E+12
73,245534,33,1.50539E+12
74,584509,33,1.50439E+12
75,731717,33,1.50353E+12
76,731717,66,1.50353E+12
77,731717,100,1.50353E+12
78,731717,0,1.50353E+12
79,731717,100,1.50353E+12
80,731717,100,1.50353E+12
81,731717,33,1.50353E+12
82,731717,100,1.50353E+12
83,731717,0,1.50354E+12
84,731717,66,1.50354E+12
85,731717,100,1.50354E+12
86,731717,33,1.50354E+12
87,731717,0,1.50354E+12
88,731717,100,1.50354E+12
89,731717,100,1.50354E+12
90,731717,0,1.50354E+12
91,731717,100,1.50354E+12
92,731717,100,1.50354E+12
93,731717,0,1.50354E+12
94,731717,100,1.50354E+12
95,731717,100,1.50354E+12
96,731717,33,1.50364E+12
97,731717,66,1.50364E+12
98,731717,100,1.50364E+12
99,731717,33,1.50364E+12
100,731717,0,1.50388E+12
101,731717,33,1.50388E+12
102,731717,66,1.50388E+12
103,731717,100,1.50388E+12
104,731717,33,1.50388E+12
105,731717,0,1.50388E+12
106,731717,33,1.50388E+12
107,731717,95,1.5042E+12
108,731717,66,1.5042E+12
109,731717,100,1.50422E+12
110,731717,66,1.50422E+12
111,731717,95,1.50422E+12
112,731717,100,1.50422E+12
113,731717,100,1.50422E+12
114,731717,100,1.50422E+12
115,731717,100,1.50422E+12
116,731717,95,1.50422E+12
117,731717,95,1.50422E+12
