"item" "proficiency" "timestamp"
"1" 708296 33 1505251257709
"2" 152826 66 1505256680947
"3" 152826 95 1505256680947
"4" 152826 95 1505256680947
"5" 152826 100 1505256680947
"6" 152826 100 1505256680947
"7" 152826 67 1505360117074
"8" 152826 99 1505360118880
"9" 890319 1 1505330443568
"10" 890319 67 1505330446172
"11" 890319 100 1505330447915
"12" 890319 100 1505332008046
"13" 890319 100 1505346939869
"14" 890319 99 1505398757042
"15" 313242 1 1505359551150
"16" 313242 33 1505359559650
"17" 313242 67 1505359570166
"18" 313242 67 1505359578876
"19" 313242 99 1505359584657
"20" 313242 1 1505360621885
"21" 313242 33 1505360623500
"22" 313242 67 1505360624725
"23" 313242 99 1505360633507
"24" 313242 1 1505398275202
"25" 313242 33 1505398279732
"26" 313242 67 1505398287102
"27" 313242 67 1505398292708
"28" 313242 99 1505398294638
"29" 863778 1 1505333519607
"30" 863778 33 1505333522009
"31" 863778 33 1505333522751
"32" 863778 33 1505333526879
"33" 863778 67 1505333529262
"34" 863778 67 1505333535361
"35" 863778 67 1505333538331
"36" 863778 67 1505333541248
"37" 863778 67 1505333542950
"38" 863778 67 1505333546459
"39" 863778 67 1505333554374
"40" 863778 100 1505333559825
"41" 675184 66 1505253023515
"42" 675184 66 1505253023515
"43" 675184 95 1505253023515
"44" 675184 100 1505253023515
"45" 675184 100 1505256723801
"46" 675184 95 1505266743528
"47" 675184 100 1505266743528
"48" 560786 95 1505252991732
"49" 560786 95 1505252991732
"50" 560786 100 1505252991732
"51" 560786 100 1505256726833
"52" 560786 95 1505266739915
"53" 560786 100 1505266739915
"54" 560786 67 1505360127657
"55" 560786 99 1505360128838
"56" 2452 1 1505356516921
"57" 900212 33 1505250598121
"58" 357422 1 1505356385973
"59" 238948 33 1505241654846
"60" 347979 1 1505333355520
"61" 347979 33 1505333358942
"62" 347979 67 1505333363556
"63" 347979 67 1505333388558
"64" 347979 67 1505333392646
"65" 347979 100 1505333396794
"66" 269110 33 1505242104784
"67" 250355 1 1505359394207
"68" 250355 33 1505359403184
"69" 250355 33 1505359423791
"70" 250355 67 1505359430759
"71" 250355 99 1505359435416
"72" 250355 67 1505360416836
"73" 250355 67 1505360419707
"74" 250355 99 1505360439559
"75" 250355 99 1505398162979
"76" 931968 1 1505333198086
"77" 931968 1 1505333198686
"78" 931968 1 1505333201675
"79" 931968 33 1505333203575
"80" 931968 67 1505333207178
"81" 931968 67 1505333211025
"82" 931968 33 1505333214394
"83" 931968 1 1505333217990
"84" 931968 67 1505333221047
"85" 931968 100 1505333228538
"86" 931968 1 1505333569137
"87" 931968 100 1505333570774
"88" 290830 95 1505256677526
"89" 290830 95 1505256677526
"90" 290830 100 1505256677526
"91" 290830 100 1505256677526
"92" 290830 1 1505360089427
"93" 290830 67 1505360093758
"94" 290830 99 1505360101048
"95" 833995 1 1505359595185
"96" 833995 33 1505359605145
"97" 833995 67 1505359617455
"98" 833995 99 1505359621093
"99" 833995 1 1505360648710
"100" 833995 33 1505360656854
"101" 833995 67 1505360665543
"102" 833995 99 1505360687378
"103" 833995 1 1505398312233
"104" 833995 33 1505398316893
"105" 833995 67 1505398319648
"106" 833995 67 1505398324873
"107" 833995 99 1505398326834
"108" 225044 33 1505251394990
"109" 799111 1 1505360006125
"110" 799111 33 1505360016007
"111" 799111 67 1505360028782
"112" 799111 99 1505360038497
"113" 799111 1 1505398690892
"114" 799111 33 1505398696905
"115" 799111 67 1505398699105
