"","item","proficiency","timestamp"
"1",138143,138143,138143
"2",138143,138143,138143
"3",175863,33,1505256705681
"4",175863,95,1505256705681
"5",175863,100,1505256705681
"6",175863,100,1505256705681
"7",175863,100,1505256705681
"8",175863,33,1505359908223
"9",175863,99,1505359961311
"10",175863,99,1505360119296
"11",175863,33,1505394082764
"12",406404,406404,406404
"13",406404,406404,406404
"14",234779,234779,234779
"15",234779,234779,234779
"16",635525,33,1505242979713
"17",760203,760203,760203
"18",760203,760203,760203
"19",789463,33,1505251277728
"20",705040,0,1503707672428
"21",357249,357249,357249
"22",357249,357249,357249
"23",900612,33,1505242832988
"24",428285,33,1504392984532
"25",400386,400386,400386
"26",400386,400386,400386
"27",516383,516383,516383
"28",516383,516383,516383
"29",42786,42786,42786
"30",42786,42786,42786
"31",294715,0,1505330060537
"32",415221,1,1505358458779
"33",586076,586076,586076
"34",586076,586076,586076
"35",671285,1,1505332511861
"36",235175,0,1505329590592
"37",113065,33,1505251783606
"38",853875,853875,853875
"39",853875,853875,853875
"40",318690,318690,318690
"41",318690,318690,318690
"42",828958,0,1504126016380
"43",83802,0,1503627307642
"44",161990,161990,161990
"45",161990,161990,161990
"46",952711,952711,952711
"47",952711,952711,952711
"48",248923,66,1504382390714
"49",248923,33,1504382390714
"50",124628,124628,124628
"51",124628,124628,124628
"52",267933,33,1505251748089
"53",121866,121866,121866
"54",121866,121866,121866
"55",268258,268258,268258
"56",268258,268258,268258
"57",670032,670032,670032
"58",670032,670032,670032
"59",972789,972789,972789
"60",972789,972789,972789
"61",46253,1,1505359658739
"62",46253,99,1505359663428
"63",46253,33,1505359753494
"64",46253,67,1505359756485
"65",46253,99,1505359812490
"66",46253,33,1505394238999
"67",431353,431353,431353
"68",431353,431353,431353
"69",245534,1,1505359778163
"70",245534,99,1505359779657
"71",245534,99,1505359783577
"72",245534,99,1505359793168
"73",245534,33,1505394284651
"74",584509,33,1504393156572
"75",731717,33,1503531221693
"76",731717,66,1503531221693
"77",731717,100,1503531221693
"78",731717,0,1503533973895
"79",731717,100,1503533973895
"80",731717,100,1503533973895
"81",731717,33,1503534081845
"82",731717,100,1503534089241
"83",731717,0,1503538541867
"84",731717,66,1503538541867
"85",731717,100,1503538541867
"86",731717,33,1503538576901
"87",731717,0,1503541547656
"88",731717,100,1503541547656
"89",731717,100,1503541547656
"90",731717,0,1503542252650
"91",731717,100,1503542252650
"92",731717,100,1503542252650
"93",731717,0,1503542897601
"94",731717,100,1503542897601
"95",731717,100,1503542897601
"96",731717,33,1503642196272
"97",731717,66,1503642196272
"98",731717,100,1503642196272
"99",731717,33,1503642196272
"100",731717,0,1503879961169
"101",731717,33,1503879961169
"102",731717,66,1503879961169
"103",731717,100,1503879961169
"104",731717,33,1503879961169
"105",731717,0,1503879961169
"106",731717,33,1503880495089
"107",731717,95,1504200329856
"108",731717,66,1504200363991
"109",731717,100,1504219725131
"110",731717,66,1504219844802
"111",731717,95,1504219872139
"112",731717,100,1504219930121
"113",731717,100,1504219966166
"114",731717,100,1504220036325
"115",731717,100,1504220214736
"116",731717,95,1504220214736
"117",731717,95,1504220214736
"118",731717,33,1504220214736
"119",731717,33,1504220214736
